id,name,source_type,source_name,faction
6,Brown Horse,VENDOR,Vendor,Alliance
7,Gray Wolf,VENDOR,Vendor,
8,White Stallion,VENDOR,Vendor,
9,Black Stallion,VENDOR,Vendor,Alliance
11,Pinto,VENDOR,Vendor,Alliance
12,Black Wolf,VENDOR,Vendor,
13,Red Wolf,VENDOR,Vendor,
14,Timber Wolf,VENDOR,Vendor,Horde
15,Winter Wolf,VENDOR,Vendor,
17,Felsteed,QUEST,Quest,
18,Chestnut Mare,VENDOR,Vendor,Alliance
19,Dire Wolf,VENDOR,Vendor,Horde
20,Brown Wolf,VENDOR,Vendor,Horde
21,Gray Ram,VENDOR,Vendor,Alliance
22,Black Ram,VENDOR,Vendor,
24,White Ram,VENDOR,Vendor,Alliance
25,Brown Ram,VENDOR,Vendor,Alliance
26,Striped Frostsaber,VENDOR,Vendor,Alliance
27,Emerald Raptor,VENDOR,Vendor,Horde
28,Skeletal Horse,VENDOR,Vendor,
31,Spotted Frostsaber,VENDOR,Vendor,Alliance
32,Tiger,ACHIEVEMENT,Achievement,
34,Striped Nightsaber,VENDOR,Vendor,Alliance
35,Ivory Raptor,VENDOR,Vendor,
36,Turquoise Raptor,VENDOR,Vendor,Horde
38,Violet Raptor,VENDOR,Vendor,Horde
39,Red Mechanostrider,VENDOR,Vendor,Alliance
40,Blue Mechanostrider,VENDOR,Vendor,Alliance
41,Warhorse,QUEST,Quest,Alliance
42,White Mechanostrider Mod B,VENDOR,Vendor,Alliance
43,Green Mechanostrider,VENDOR,Vendor,
45,Black Nightsaber,VENDOR,Vendor,Alliance
46,Ancient Frostsaber,VENDOR,Vendor,Alliance
50,Red Wolf,VENDOR,Vendor,Horde
51,Arctic Wolf,DROP,Drop,Horde
52,Palomino,VENDOR,Vendor,Alliance
53,White Stallion,VENDOR,Vendor,Alliance
54,Mottled Red Raptor,VENDOR,Vendor,Horde
55,Winterspring Frostsaber,QUEST,Quest,Alliance
56,Ivory Raptor,VENDOR,Vendor,Horde
57,Green Mechanostrider,VENDOR,Vendor,Alliance
58,Unpainted Mechanostrider,VENDOR,Vendor,Alliance
62,Icy Blue Mechanostrider Mod A,VENDOR,Vendor,Alliance
63,Frost Ram,VENDOR,Vendor,Alliance
64,Black Ram,VENDOR,Vendor,Alliance
65,Red Skeletal Horse,VENDOR,Vendor,Horde
66,Blue Skeletal Horse,VENDOR,Vendor,Horde
67,Brown Skeletal Horse,VENDOR,Vendor,Horde
68,Green Skeletal Warhorse,VENDOR,Vendor,Horde
69,Rivendare's Deathcharger,DROP,Drop,
70,Riding Kodo,VENDOR,Vendor,
71,Gray Kodo,VENDOR,Vendor,Horde
72,Brown Kodo,VENDOR,Vendor,Horde
73,Green Kodo,VENDOR,Vendor,Horde
74,Teal Kodo,VENDOR,Vendor,Horde
75,Black War Steed,VENDOR,Vendor,Alliance
76,Black War Kodo,VENDOR,Vendor,Horde
77,Black Battlestrider,VENDOR,Vendor,Alliance
78,Black War Ram,VENDOR,Vendor,Alliance
79,Black War Raptor,VENDOR,Vendor,Horde
80,Red Skeletal Warhorse,VENDOR,Vendor,Horde
81,Black War Tiger,VENDOR,Vendor,Alliance
82,Black War Wolf,VENDOR,Vendor,Horde
83,Dreadsteed,QUEST,Quest,
84,Charger,QUEST,Quest,Alliance
85,Swift Mistsaber,VENDOR,Vendor,Alliance
87,Swift Frostsaber,VENDOR,Vendor,Alliance
88,Swift Yellow Mechanostrider,VENDOR,Vendor,Alliance
89,Swift White Mechanostrider,VENDOR,Vendor,Alliance
90,Swift Green Mechanostrider,VENDOR,Vendor,Alliance
91,Swift Palomino,VENDOR,Vendor,Alliance
92,Swift White Steed,VENDOR,Vendor,Alliance
93,Swift Brown Steed,VENDOR,Vendor,Alliance
94,Swift Brown Ram,VENDOR,Vendor,Alliance
136,Swift Red Wind Rider,VENDOR,Vendor,Horde
137,Swift Red Gryphon,VENDOR,Vendor,Alliance
138,Swift Green Gryphon,VENDOR,Vendor,Alliance
139,Swift Purple Gryphon,VENDOR,Vendor,Alliance
140,Swift Green Wind Rider,VENDOR,Vendor,Horde
141,Swift Yellow Wind Rider,VENDOR,Vendor,Horde
142,Swift Purple Wind Rider,VENDOR,Vendor,Horde
145,Blue Mechanostrider,VENDOR,Vendor,
146,Swift Pink Hawkstrider,VENDOR,Vendor,Horde
147,Brown Elekk,VENDOR,Vendor,Alliance
149,Thalassian Charger,QUEST,Quest,Horde
150,Thalassian Warhorse,QUEST,Quest,Horde
151,Dark War Talbuk,VENDOR,Vendor,
152,Red Hawkstrider,VENDOR,Vendor,Horde
153,Cobalt War Talbuk,VENDOR,Vendor,
154,White War Talbuk,VENDOR,Vendor,
155,Silver War Talbuk,VENDOR,Vendor,
1329,Springfur Alpaca,QUEST,Quest,
156,Tan War Talbuk,VENDOR,Vendor,
1327,Ren's Stalwart Hound,DROP,Drop,
1328,Xinlao,DROP,Drop,
157,Purple Hawkstrider,VENDOR,Vendor,Horde
158,Blue Hawkstrider,VENDOR,Vendor,Horde
159,Black Hawkstrider,VENDOR,Vendor,Horde
160,Swift Green Hawkstrider,VENDOR,Vendor,Horde
161,Swift Purple Hawkstrider,VENDOR,Vendor,Horde
162,Swift Warstrider,VENDOR,Vendor,Horde
163,Gray Elekk,VENDOR,Vendor,Alliance
164,Purple Elekk,VENDOR,Vendor,Alliance
165,Great Green Elekk,VENDOR,Vendor,Alliance
166,Great Blue Elekk,VENDOR,Vendor,Alliance
167,Great Purple Elekk,VENDOR,Vendor,Alliance
168,Fiery Warhorse,DROP,Drop,
169,Swift Nether Drake,ACHIEVEMENT,Achievement,
170,Cobalt Riding Talbuk,VENDOR,Vendor,
171,Dark Riding Talbuk,VENDOR,Vendor,
172,Silver Riding Talbuk,VENDOR,Vendor,
173,Tan Riding Talbuk,VENDOR,Vendor,
1319,Malevolent Drone,DROP,Drop,
1320,Shadowbarb Drone,QUEST,Quest,
1321,Wicked Swarmer,VENDOR,Vendor,
174,White Riding Talbuk,VENDOR,Vendor,
176,Green Riding Nether Ray,VENDOR,Vendor,
177,Red Riding Nether Ray,VENDOR,Vendor,
178,Purple Riding Nether Ray,VENDOR,Vendor,
179,Silver Riding Nether Ray,VENDOR,Vendor,
180,Blue Riding Nether Ray,VENDOR,Vendor,
183,Ashes of Al'ar,DROP,Drop,
185,Raven Lord,DROP,Drop,
186,Onyx Netherwing Drake,QUEST,Quest,
187,Azure Netherwing Drake,QUEST,Quest,
188,Cobalt Netherwing Drake,QUEST,Quest,
189,Purple Netherwing Drake,QUEST,Quest,
190,Veridian Netherwing Drake,QUEST,Quest,
191,Violet Netherwing Drake,QUEST,Quest,
196,Spectral Tiger,TCG,Trading Card Game,
197,Swift Spectral Tiger,TCG,Trading Card Game,
199,Amani War Bear,DROP,Drop,
201,Brewfest Ram,WORLDEVENT,World Event,
855,Darkwater Skate,VENDOR,Vendor,
905,Leywoven Flying Carpet,DROP,Drop,
202,Swift Brewfest Ram,DROP,Drop,
203,Cenarion War Hippogryph,VENDOR,Vendor,
204,Turbo-Charged Flying Machine,PROFESSION,Profession,
205,Flying Machine,PROFESSION,Profession,
206,Merciless Nether Drake,ACHIEVEMENT,Achievement,
207,Merciless Nether Drake,ACHIEVEMENT,Achievement,
211,X-51 Nether-Rocket,TCG,Trading Card Game,
212,X-51 Nether-Rocket X-TREME,TCG,Trading Card Game,
95,Swift Gray Ram,VENDOR,Vendor,Alliance
96,Swift White Ram,VENDOR,Vendor,Alliance
97,Swift Blue Raptor,VENDOR,Vendor,Horde
98,Swift Olive Raptor,VENDOR,Vendor,Horde
99,Swift Orange Raptor,VENDOR,Vendor,Horde
100,Purple Skeletal Warhorse,VENDOR,Vendor,Horde
101,Great White Kodo,VENDOR,Vendor,Horde
102,Great Gray Kodo,VENDOR,Vendor,Horde
103,Great Brown Kodo,VENDOR,Vendor,Horde
104,Swift Brown Wolf,VENDOR,Vendor,Horde
105,Swift Timber Wolf,VENDOR,Vendor,Horde
106,Swift Gray Wolf,VENDOR,Vendor,Horde
107,Swift Stormsaber,VENDOR,Vendor,Alliance
108,Frostwolf Howler,VENDOR,Vendor,Horde
109,Stormpike Battle Charger,VENDOR,Vendor,Alliance
110,Swift Razzashi Raptor,DROP,Drop,
111,Swift Zulian Tiger,DROP,Drop,
116,Black Qiraji Battle Tank,DROP,Drop,
117,Blue Qiraji Battle Tank,DROP,Drop,
118,Red Qiraji Battle Tank,DROP,Drop,
119,Yellow Qiraji Battle Tank,DROP,Drop,
120,Green Qiraji Battle Tank,DROP,Drop,
121,Black Qiraji Battle Tank,DROP,Drop,
122,Black Qiraji Battle Tank,DROP,Drop,
123,Nether Drake,VENDOR,Vendor,
125,Riding Turtle,TCG,Trading Card Game,
129,Golden Gryphon,VENDOR,Vendor,Alliance
130,Ebon Gryphon,VENDOR,Vendor,Alliance
131,Snowy Gryphon,VENDOR,Vendor,Alliance
132,Swift Blue Gryphon,VENDOR,Vendor,Alliance
133,Tawny Wind Rider,VENDOR,Vendor,Horde
134,Blue Wind Rider,VENDOR,Vendor,Horde
135,Green Wind Rider,DROP,Drop,Horde
213,Swift White Hawkstrider,DROP,Drop,
1322,Wriggling Parasite,ACHIEVEMENT,Achievement,
1324,Elusive Quickhoof,DISCOVERY,Discovery,
1326,Awakened Mindborer,ACHIEVEMENT,Achievement,
219,Headless Horseman's Mount,DROP,Drop,
220,Black War Elekk,VENDOR,Vendor,Alliance
221,Acherus Deathcharger,VENDOR,Vendor,
222,Swift Zhevra,PROMOTION,Promotion,
223,Vengeful Nether Drake,ACHIEVEMENT,Achievement,
224,Swift Zhevra,PROMOTION,Promotion,
225,Brewfest Riding Kodo,WORLDEVENT,World Event,
226,Great Brewfest Kodo,DROP,Drop,
230,Big Battle Bear,TCG,Trading Card Game,
960,Orgrimmar Interceptor,PROMOTION,Promotion,Horde
963,Bloodgorged Crawg,ACHIEVEMENT,Achievement,
959,Stormwind Skychaser,PROMOTION,Promotion,Alliance
964,Amethyst Ruinstrider,VENDOR,Vendor,
965,Cerulean Ruinstrider,VENDOR,Vendor,
236,Winged Steed of the Ebon Blade,VENDOR,Vendor,
237,White Polar Bear,DROP,Drop,
238,Swift Spectral Gryphon,ACHIEVEMENT,Achievement,
240,Mechano-Hog,PROFESSION,Profession,Horde
241,Brutal Nether Drake,VENDOR,Vendor,
1317,Waste Marauder,DROP,Drop,
1318,Wastewander Skyterror,VENDOR,Vendor,
243,Big Blizzard Bear,PROMOTION,Promotion,
246,Azure Drake,DROP,Drop,
247,Blue Drake,DROP,Drop,
248,Bronze Drake,DROP,Drop,
249,Red Drake,VENDOR,Vendor,
250,Twilight Drake,DROP,Drop,
251,Black Polar Bear,VENDOR,Vendor,
253,Black Drake,DROP,Drop,
254,Black War Mammoth,VENDOR,Vendor,Alliance
382,X-53 Touring Rocket,TRADINGPOST,Trading Post,
386,Fossilized Raptor,PROFESSION,Profession,
388,Goblin Trike,VENDOR,Vendor,Horde
389,Goblin Turbo-Trike,VENDOR,Vendor,Horde
391,Volcanic Stone Drake,ACHIEVEMENT,Achievement,
392,Drake of the East Wind,ACHIEVEMENT,Achievement,
393,Phosphorescent Stone Drake,DROP,Drop,
1674,Temperamental Skyclaw,VENDOR,Vendor,
394,Drake of the West Wind,VENDOR,Vendor,
395,Drake of the North Wind,DROP,Drop,
396,Drake of the South Wind,DROP,Drop,
397,Vitreous Stone Drake,DROP,Drop,
398,Brown Riding Camel,VENDOR,Vendor,
399,Tan Riding Camel,VENDOR,Vendor,
400,Grey Riding Camel,DROP,Drop,
401,Dark Phoenix,VENDOR,Vendor,
403,Golden King,VENDOR,Vendor,Alliance
404,Ultramarine Qiraji Battle Tank,PROFESSION,Profession,
405,Spectral Steed,VENDOR,Vendor,Alliance
406,Spectral Wolf,VENDOR,Vendor,Horde
407,Sandstone Drake,PROFESSION,Profession,
408,Mottled Drake,TCG,Trading Card Game,
409,Kor'kron Annihilator,VENDOR,Vendor,Horde
410,Armored Razzashi Raptor,DROP,Drop,
411,Swift Zulian Panther,DROP,Drop,
412,Amani Dragonhawk,TCG,Trading Card Game,
413,Flameward Hippogryph,ACHIEVEMENT,Achievement,
415,Pureblood Fire Hawk,DROP,Drop,
416,Felfire Hawk,ACHIEVEMENT,Achievement,
417,Corrupted Fire Hawk,ACHIEVEMENT,Achievement,
418,Savage Raptor,TCG,Trading Card Game,
460,Grand Expedition Yak,VENDOR,Vendor,
462,Kafa Yak,VENDOR,Vendor,
463,Amber Scorpion,VENDOR,Vendor,
464,Azure Cloud Serpent,QUEST,Quest,
465,Golden Cloud Serpent,QUEST,Quest,
466,Thundering Jade Cloud Serpent,VENDOR,Vendor,
467,Cataclysmic Gladiator's Twilight Drake,VENDOR,Vendor,
468,Imperial Quilen,PROMOTION,Promotion,
469,Depleted-Kyparium Rocket,PROFESSION,Profession,
470,Geosynchronous World Spinner,PROFESSION,Profession,
471,Onyx Cloud Serpent,QUEST,Quest,
472,Crimson Cloud Serpent,ACHIEVEMENT,Achievement,
473,Heavenly Onyx Cloud Serpent,DROP,Drop,
474,Heavenly Crimson Cloud Serpent,ACHIEVEMENT,Achievement,
475,Heavenly Golden Cloud Serpent,VENDOR,Vendor,
476,"Yu'lei, Daughter of Jade",VENDOR,Vendor,
477,Heavenly Azure Cloud Serpent,ACHIEVEMENT,Achievement,
478,Astral Cloud Serpent,DROP,Drop,
479,Azure Riding Crane,VENDOR,Vendor,
480,Golden Riding Crane,VENDOR,Vendor,
481,Regal Riding Crane,VENDOR,Vendor,
482,Jungle Riding Crane,VENDOR,Vendor,
484,Black Riding Yak,VENDOR,Vendor,
485,Modest Expedition Yak,VENDOR,Vendor,
486,Grey Riding Yak,VENDOR,Vendor,
487,Blonde Riding Yak,VENDOR,Vendor,
488,Crimson Water Strider,VENDOR,Vendor,
492,Black Dragon Turtle,VENDOR,Vendor,
493,Blue Dragon Turtle,VENDOR,Vendor,
494,Brown Dragon Turtle,VENDOR,Vendor,
495,Purple Dragon Turtle,VENDOR,Vendor,
496,Red Dragon Turtle,VENDOR,Vendor,
497,Great Green Dragon Turtle,VENDOR,Vendor,
498,Great Black Dragon Turtle,VENDOR,Vendor,
499,Great Blue Dragon Turtle,VENDOR,Vendor,
500,Great Brown Dragon Turtle,VENDOR,Vendor,
501,Great Purple Dragon Turtle,VENDOR,Vendor,
503,Crimson Pandaren Phoenix,VENDOR,Vendor,
504,Thundering August Cloud Serpent,VENDOR,Vendor,
505,Green Shado-Pan Riding Tiger,VENDOR,Vendor,
506,Blue Shado-Pan Riding Tiger,VENDOR,Vendor,
507,Red Shado-Pan Riding Tiger,VENDOR,Vendor,
508,Brown Riding Goat,VENDOR,Vendor,
509,Red Flying Cloud,VENDOR,Vendor,
510,White Riding Goat,VENDOR,Vendor,
511,Black Riding Goat,VENDOR,Vendor,
515,Son of Galleon,DROP,Drop,
516,Pandaren Kite,ACHIEVEMENT,Achievement,Alliance
517,Thundering Ruby Cloud Serpent,DROP,Drop,
518,Ashen Pandaren Phoenix,VENDOR,Vendor,
519,Emerald Pandaren Phoenix,VENDOR,Vendor,
520,Violet Pandaren Phoenix,VENDOR,Vendor,
521,Jade Pandaren Kite,ACHIEVEMENT,Achievement,
522,Sky Golem,PROFESSION,Profession,
523,Swift Windsteed,PETSTORE,In-Game Shop,
526,Grand Armored Gryphon,VENDOR,Vendor,Alliance
527,Grand Armored Wyvern,VENDOR,Vendor,Horde
528,Grand Gryphon,QUEST,Quest,Alliance
529,Grand Wyvern,QUEST,Quest,Horde
530,Armored Skyscreamer,ACHIEVEMENT,Achievement,
531,Spawn of Horridon,DROP,Drop,
532,Ghastly Charger,TCG,Trading Card Game,
533,Cobalt Primordial Direhorn,DROP,Drop,
534,Amber Primordial Direhorn,DROP,Drop,
535,Slate Primordial Direhorn,DROP,Drop,
536,Jade Primordial Direhorn,DROP,Drop,
537,Bone-White Primal Raptor,QUEST,Quest,
419,Amani Battle Bear,DROP,Drop,
420,Subdued Seahorse,DROP,Drop,
421,Winged Guardian,PETSTORE,In-Game Shop,
422,Vicious War Steed,ACHIEVEMENT,Achievement,Alliance
423,Vicious War Wolf,ACHIEVEMENT,Achievement,Horde
424,Vicious Gladiator's Twilight Drake,ACHIEVEMENT,Achievement,
425,Flametalon of Alysrazor,DROP,Drop,
426,Swift Shorestrider,TCG,Trading Card Game,
428,Ruthless Gladiator's Twilight Drake,ACHIEVEMENT,Achievement,
429,Swift Forest Strider,VENDOR,Vendor,
430,Swift Springstrider,WORLDEVENT,World Event,
431,Swift Lovebird,WORLDEVENT,World Event,
432,White Riding Camel,TCG,Trading Card Game,
433,Corrupted Hippogryph,TCG,Trading Card Game,
434,Darkmoon Dancing Bear,VENDOR,Vendor,
435,Mountain Horse,VENDOR,Vendor,Alliance
436,Swift Mountain Horse,VENDOR,Vendor,Alliance
439,Tyrael's Charger,VENDOR,Vendor,
440,Spectral Gryphon,PROMOTION,Promotion,Alliance
441,Spectral Wind Rider,PROMOTION,Promotion,Horde
442,Blazing Drake,DROP,Drop,
443,Twilight Harbinger,ACHIEVEMENT,Achievement,
444,Life-Binder's Handmaiden,DROP,Drop,
445,Experiment 12-B,DROP,Drop,
446,Heart of the Aspects,PETSTORE,In-Game Shop,
447,Feldrake,TCG,Trading Card Game,
448,Jade Cloud Serpent,QUEST,Quest,
449,Azure Water Strider,VENDOR,Vendor,
450,Pandaren Kite,ACHIEVEMENT,Achievement,Horde
451,Jeweled Onyx Panther,PROFESSION,Profession,
452,Green Dragon Turtle,VENDOR,Vendor,
453,Great Red Dragon Turtle,VENDOR,Vendor,
454,Cindermane Charger,PROMOTION,Promotion,
455,Obsidian Nightwing,PROMOTION,Promotion,
456,Sapphire Panther,PROFESSION,Profession,
457,Jade Panther,PROFESSION,Profession,
458,Ruby Panther,PROMOTION,Promotion,
459,Sunstone Panther,PROFESSION,Profession,
255,Black War Mammoth,VENDOR,Vendor,Horde
256,Wooly Mammoth,VENDOR,Vendor,Alliance
257,Wooly Mammoth,VENDOR,Vendor,Horde
258,Ice Mammoth,VENDOR,Vendor,Horde
259,Ice Mammoth,VENDOR,Vendor,Alliance
262,Red Proto-Drake,ACHIEVEMENT,Achievement,
263,Black Proto-Drake,VENDOR,Vendor,
264,Blue Proto-Drake,DROP,Drop,
265,Time-Lost Proto-Drake,DROP,Drop,
266,Plagued Proto-Drake,ACHIEVEMENT,Achievement,
267,Violet Proto-Drake,ACHIEVEMENT,Achievement,
268,Albino Drake,ACHIEVEMENT,Achievement,
269,Armored Brown Bear,VENDOR,Vendor,Alliance
270,Armored Brown Bear,VENDOR,Vendor,Horde
271,Black War Bear,ACHIEVEMENT,Achievement,Alliance
272,Black War Bear,ACHIEVEMENT,Achievement,Horde
273,Grand Caravan Mammoth,VENDOR,Vendor,
274,Grand Caravan Mammoth,VENDOR,Vendor,
275,Mekgineer's Chopper,PROFESSION,Profession,Alliance
276,Armored Snowy Gryphon,VENDOR,Vendor,Alliance
277,Armored Blue Wind Rider,VENDOR,Vendor,Horde
278,Green Proto-Drake,DROP,Drop,
279,Magnificent Flying Carpet,PROFESSION,Profession,
280,Traveler's Tundra Mammoth,VENDOR,Vendor,Alliance
284,Traveler's Tundra Mammoth,VENDOR,Vendor,Horde
285,Flying Carpet,PROFESSION,Profession,
286,Grand Black War Mammoth,DROP,Drop,Alliance
287,Grand Black War Mammoth,DROP,Drop,Horde
288,Grand Ice Mammoth,VENDOR,Vendor,Horde
289,Grand Ice Mammoth,VENDOR,Vendor,Alliance
291,Blue Dragonhawk,ACHIEVEMENT,Achievement,Alliance
292,Red Dragonhawk,ACHIEVEMENT,Achievement,Horde
293,Illidari Doomhawk,DROP,Drop,
294,Stormwind Steed,VENDOR,Vendor,Alliance
295,Darkspear Raptor,VENDOR,Vendor,Horde
296,Ironforge Ram,VENDOR,Vendor,Alliance
1583,Armored Siege Kodo,TRADINGPOST,Trading Post,
297,Darnassian Nightsaber,VENDOR,Vendor,Alliance
298,Gnomeregan Mechanostrider,VENDOR,Vendor,Alliance
299,Exodar Elekk,VENDOR,Vendor,Alliance
300,Orgrimmar Wolf,VENDOR,Vendor,Horde
301,Thunder Bluff Kodo,VENDOR,Vendor,Horde
302,Silvermoon Hawkstrider,VENDOR,Vendor,Horde
303,Forsaken Warhorse,VENDOR,Vendor,Horde
304,Mimiron's Head,DROP,Drop,
305,Argent Hippogryph,VENDOR,Vendor,
306,Ironbound Proto-Drake,ACHIEVEMENT,Achievement,
307,Rusted Proto-Drake,ACHIEVEMENT,Achievement,
308,Blue Skeletal Warhorse,VENDOR,Vendor,
309,White Kodo,VENDOR,Vendor,Horde
310,Black Wolf,VENDOR,Vendor,Horde
311,Venomhide Ravasaur,QUEST,Quest,Horde
312,Sea Turtle,PROFESSION,Profession,
313,Deadly Gladiator's Frost Wyrm,VENDOR,Vendor,
314,Black Skeletal Horse,VENDOR,Vendor,Horde
317,Furious Gladiator's Frost Wyrm,VENDOR,Vendor,
318,Great Red Elekk,VENDOR,Vendor,Alliance
319,Swift Moonsaber,VENDOR,Vendor,Alliance
320,Swift Red Hawkstrider,VENDOR,Vendor,Horde
321,Swift Gray Steed,VENDOR,Vendor,Alliance
322,Great Golden Kodo,VENDOR,Vendor,Horde
323,Turbostrider,VENDOR,Vendor,Alliance
324,Swift Violet Ram,VENDOR,Vendor,Alliance
325,Swift Purple Raptor,VENDOR,Vendor,Horde
326,White Skeletal Warhorse,VENDOR,Vendor,Horde
327,Swift Burgundy Wolf,VENDOR,Vendor,Horde
328,Magic Rooster,TCG,Trading Card Game,
329,Silver Covenant Hippogryph,VENDOR,Vendor,Alliance
330,Sunreaver Dragonhawk,VENDOR,Vendor,Horde
1208,Saltwater Seahorse,VENDOR,Vendor,
331,Quel'dorei Steed,VENDOR,Vendor,Alliance
332,Sunreaver Hawkstrider,VENDOR,Vendor,Horde
333,Magic Rooster,TCG,Trading Card Game,
334,Magic Rooster,TCG,Trading Card Game,
335,Magic Rooster,TCG,Trading Card Game,
336,Ochre Skeletal Warhorse,VENDOR,Vendor,Horde
337,Striped Dawnsaber,VENDOR,Vendor,Alliance
338,Argent Charger,VENDOR,Vendor,
340,Relentless Gladiator's Frost Wyrm,ACHIEVEMENT,Achievement,
341,Argent Warhorse,VENDOR,Vendor,
342,Swift Horde Wolf,VENDOR,Vendor,Horde
343,Swift Alliance Steed,VENDOR,Vendor,Alliance
344,Crusader's White Warhorse,ACHIEVEMENT,Achievement,Alliance
345,Crusader's Black Warhorse,ACHIEVEMENT,Achievement,Horde
349,Onyxian Drake,DROP,Drop,
350,Sunwalker Kodo,QUEST,Quest,Horde
351,Great Sunwalker Kodo,QUEST,Quest,Horde
352,X-45 Heartbreaker,DROP,Drop,
358,Wrathful Gladiator's Frost Wyrm,ACHIEVEMENT,Achievement,
363,Invincible,DROP,Drop,
364,Icebound Frostbrood Vanquisher,ACHIEVEMENT,Achievement,
365,Bloodbathed Frostbrood Vanquisher,ACHIEVEMENT,Achievement,
366,Crimson Deathcharger,QUEST,Quest,
367,Exarch's Elekk,QUEST,Quest,Alliance
368,Great Exarch's Elekk,QUEST,Quest,Alliance
371,Blazing Hippogryph,TRADINGPOST,Trading Post,
372,Wooly White Rhino,TCG,Trading Card Game,
373,Vashj'ir Seahorse,QUEST,Quest,
375,Frosty Flying Carpet,PROFESSION,Profession,
376,Celestial Steed,PETSTORE,In-Game Shop,
538,Red Primal Raptor,DROP,Drop,
539,Black Primal Raptor,DROP,Drop,
540,Green Primal Raptor,DROP,Drop,
541,Malevolent Gladiator's Cloud Serpent,ACHIEVEMENT,Achievement,
542,Thundering Cobalt Cloud Serpent,DROP,Drop,
543,Clutch of Ji-Kun,DROP,Drop,
544,Armored Bloodwing,PETSTORE,In-Game Shop,
545,Golden Primal Direhorn,VENDOR,Vendor,Alliance
546,Crimson Primal Direhorn,VENDOR,Vendor,Horde
547,Hearthsteed,PROMOTION,Promotion,
548,Armored Red Dragonhawk,ACHIEVEMENT,Achievement,Horde
549,Armored Blue Dragonhawk,ACHIEVEMENT,Achievement,Alliance
550,Brawler's Burly Mushan Beast,VENDOR,Vendor,
551,Enchanted Fey Dragon,PETSTORE,In-Game Shop,
552,Ironbound Wraithcharger,VENDOR,Vendor,
554,Vicious Kaldorei Warsaber,VENDOR,Vendor,Alliance
555,Vicious Skeletal Warhorse,VENDOR,Vendor,Horde
557,Spawn of Galakras,ACHIEVEMENT,Achievement,
